"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"46417422","2020-06-09T02:01:54.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10032","141 AUDUBON AVENUE","AUDUBON AVENUE","WEST  171 STREET","WEST  172 STREET","WEST  171 STREET","WEST  172 STREET",,"NEW YORK","AUDUBON AVENUE",,"In Progress",,,,"12 MANHATTAN","1021280035","MANHATTAN","1001774","246336","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.84279320212975","-73.93666487281862","
,  
(40.84279320212975, -73.93666487281862)"
"46420116","2020-06-09T02:01:45.000",,"NYPD","New York City Police Department","Illegal Fireworks","N/A","Street/Sidewalk","10032","85 AUDUBON AVENUE","AUDUBON AVENUE","WEST  169 STREET","WEST  170 STREET","WEST  169 STREET","WEST  170 STREET",,"NEW YORK","AUDUBON AVENUE",,"In Progress",,,,"12 MANHATTAN","1021260030","MANHATTAN","1001487","245821","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.84138024281771","-73.93770346971272","
,  
(40.84138024281771, -73.93770346971272)"
"46412794","2020-06-09T02:01:34.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11377","53 AVENUE","53 AVENUE","58 STREET","59 PLACE",,,"BLOCKFACE","Woodside",,,"Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2020-06-09T02:01:34.000","02 QUEENS",,"QUEENS","1009716","206633","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.73379985204039","-73.90811148959361","
,  
(40.73379985204039, -73.90811148959361)"
"46417380","2020-06-09T02:00:46.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10026","1769 FORT GEORGE HILL","FORT GEORGE HILL","BEND","IRT-1-BROADWAY/7 AVENUE LINE","BEND","IRT-1-BROADWAY/7 AVENUE LINE",,"NEW YORK","FT GEORGE HILL",,"In Progress",,,,"12 MANHATTAN",,"MANHATTAN","1005012","253048","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.8612086235047","-73.92494133335893","
,  
(40.8612086235047, -73.92494133335893)"
"46423076","2020-06-09T02:00:31.000",,"NYPD","New York City Police Department","Noise - Park","Loud Music/Party","Park/Playground","10468","2790 RESERVOIR AVENUE","RESERVOIR AVENUE","WEST  195 STREET","GOULDEN AVENUE","WEST  195 STREET","GOULDEN AVENUE",,"BRONX","RESERVOIR AVENUE",,"In Progress",,,,"07 BRONX","2032470070","BRONX","1012425","256435","ONLINE","Unspecified","BRONX",,,,,,,,"40.87048435765687","-73.89812767799035","
,  
(40.87048435765687, -73.89812767799035)"
"46414578","2020-06-09T02:00:28.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10303","55 HOLLAND AVENUE","HOLLAND AVENUE","RICHMOND TERRACE","BENJAMIN PLACE","RICHMOND TERRACE","BENJAMIN PLACE",,"STATEN ISLAND","HOLLAND AVENUE",,"In Progress",,,,"01 STATEN ISLAND","5012720011","STATEN ISLAND","936724","172125","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.6389924587134","-74.17124364321926","
,  
(40.6389924587134, -74.17124364321926)"
"46423166","2020-06-09T02:00:05.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music",,"10458","226 EAST  203 STREET","EAST  203 STREET","GRAND CONCOURSE","VALENTINE AVENUE","GRAND CONCOURSE","VALENTINE AVENUE",,"BRONX","EAST  203 STREET",,"In Progress",,,,"07 BRONX","2033080012","BRONX","1015890","257616","PHONE","Unspecified","BRONX",,,,,,,,"40.87371409747254","-73.88559371708128","
,  
(40.87371409747254, -73.88559371708128)"
"46423120","2020-06-09T01:59:59.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11212","366 SUTTER AVENUE","SUTTER AVENUE","MOTHER GASTON BOULEVARD","CHRISTOPHER AVENUE","MOTHER GASTON BOULEVARD","CHRISTOPHER AVENUE",,"BROOKLYN","SUTTER AVENUE",,"In Progress",,,,"16 BROOKLYN","3037600001","BROOKLYN","1010420","182589","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.667802684179335","-73.90566469196226","
,  
(40.667802684179335, -73.90566469196226)"
"46417286","2020-06-09T01:59:41.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11365","65-12 PARSONS BOULEVARD","PARSONS BOULEVARD","65 AVENUE","JEWEL AVENUE","65 AVENUE","JEWEL AVENUE",,"FRESH MEADOWS","PARSONS BOULEVARD",,"In Progress",,,,"08 QUEENS","4067920030","QUEENS","1036759","207654","ONLINE","Unspecified","QUEENS",,,,,,,,"40.736483034087684","-73.81052497569299","
,  
(40.736483034087684, -73.81052497569299)"
"46421765","2020-06-09T01:59:37.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10458","3034 GRAND CONCOURSE","GRAND CONCOURSE","EAST  202 STREET","EAST  203 STREET","EAST  202 STREET","EAST  203 STREET",,"BRONX","GRAND CONCOURSE",,"In Progress",,,,"07 BRONX","2033080001","BRONX","1015529","257639","ONLINE","Unspecified","BRONX",,,,,,,,"40.87377851204376","-73.88689893909496","
,  
(40.87377851204376, -73.88689893909496)"
